Image; Model; Series; Yen Price; Release Date; Notes;Type
HGUC Gundam FIGHTERS Ver..jpg;RX-78-2 Gundam FIGHTERS Ver.;Mobile Suit Gundam;¥2,778;2019 April;Hokkaido Nippon-Ham Fighters exclusive color variant of HGUC-191,  bundled with specific match tickets and available through the team's official online store. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Zeta Gundam FIGHTERS Ver.jpg;MSZ-006 Zeta Gundam FIGHTERS Ver.;Mobile Suit Gundam;¥3,704;2019 July;Hokkaido Nippon-Ham Fighters exclusive color variant of HGUC-203,  bundled with specific match tickets. Limited to 1500 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gundam EAGLES Ver.jpg;RX-78-2 Gundam EAGLES Ver.;Mobile Suit Gundam;N/A;2019 April;Tohoku Rakuten Golden Eagles exclusive color variant of HGUC-191,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gundam Dragons Ver.jpg;RX-78-2 Gundam Dragons Ver.;Mobile Suit Gundam;N/A;2019 May;Chunichi Dragons (Nagoya) exclusive color variant of HGUC-191,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gundam Tigers Ver.jpg;RX-78-2 Gundam Tigers Ver.;Mobile Suit Gundam;N/A;2019 May;Hanshin Tigers (Nishinomiya, Hyogo) exclusive color variant of HGUC-191,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gundam GIANTS Ver.jpg;RX-78-2 Gundam GIANTS Ver.;Mobile Suit Gundam;N/A;2019 May;Yomiuri Giants (Bunkyo, Tokyo) exclusive color variant of HGUC-191,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Zaku II Lions Ver.jpg;MS-06S Zaku II Lions Ver.;Mobile Suit Gundam;N/A;2019 May;Saitama Seibu Lions exclusive color variant of HGUC-032,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gundam HAWKS Ver.jpg;RX-78-2 Gundam HAWKS Ver.;Mobile Suit Gundam;N/A;2019 May;Fukuoka SoftBank Hawks exclusive color variant of HGUC-191,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Zaku II FIGHTERS Ver.jpg;MS-06S Zaku II FIGHTERS Ver.;Mobile Suit Gundam;N/A;2019 June;Hokkaido Nippon-Ham Fighters exclusive color variant of HGUC-032,  bundled with specific match tickets. Limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Gouf Dragons Ver.jpg;MS-07B Gouf Dragons Ver.;Mobile Suit Gundam;¥3,000;2019 May;Chunichi Dragons (Nagoya) exclusive color variant of HGUC-196,  bundled with specific match tickets. Released as part of the Gundam 40th anniversary celebration.;HGUC
HGUC Guncannon -Takuya Kai Model-.jpg;RX-77-2 Guncannon Takuya Kai Model;Mobile Suit Gundam;N/A;2019 May;Fukuoka SoftBank Hawks exclusive color variant of HGUC-190,  bundled with specific match tickets. Released as part of the Gundam 40th anniversary celebration.;HGUC
hguc_172.jpg;AMX-009 Dreissen;Mobile Suit Gundam ZZ;¥2,100;2014 February;"Color variant of HGUC-124,  chest and arm pieces remolded without the ""Sleeves"" grooves.";HGUC
HGUC Booster Expansion Set for Cruiser Mode (Combat Deployment Colors).jpg;Booster Expansion Set for Cruiser Mode (Combat Deployment Colors);Advance of Zeta: The Flag of Titans;¥1,500;2021 February;P-Bandai exclusive accessory kit for HGUC RX-121-3C Gundam TR-1 [Haze'n-thley-Rah II],  color variant of HGUC Cruiser Mode Use Booster Expansion Set. Includes additional RX-124 Gundam TR-6 [Woundwort] drum frame part.;HGUC
HGUC Gundam TR-1 -Haze'n-thley-.jpg;RX-121-3C Gundam TR-1 [Haze'n-thley];Advance of Zeta: The Flag of Titans;¥3,500;2020 June;P-Bandai exclusive parts and color variant of HGUC-057, with leg parts revised to improve articulation,  D plate runner molded in KPS instead of ABS.;HGUC
HGUC Gundam TR-1 -Hazel Custom- & Expansion Parts for RX-124 Gundam TR-6.jpg;RX-121-1 Gundam TR-1 [Hazel Custom] & Expansion Parts for RX-124 Gundam TR-6;Advance of Zeta: The Flag of Titans;¥1,500;2019 May;P-Bandai exclusive re-release of HGUC-056 bundled with accessory kit for HGUC RX-124 Gundam TR-6 [Woundwort],  D plate runner molded in KPS instead of ABS. Includes water slide decal sheet.;HGUC
HGUC Gundam TR-1 -Advanced Hazel- & Expansion Parts for Gundam TR-6.jpg;RX-121-2A Gundam TR-1 [Advanced Hazel] & Expansion Parts for RX-124 Gundam TR-6;Advance of Zeta: The Flag of Titans;¥1,700;2019 June;P-Bandai exclusive re-release of HGUC-057 bundled with accessory kit for HGUC RX-124 Gundam TR-6 [Woundwort],  D plate runner molded in KPS instead of ABS. Includes water slide decal sheet.;HGUC
20121228194232ab8.jpg;MSA-003 Nemo;Mobile Suit Zeta Gundam;¥1,500;2013 January;Color variant of HGUC-140,  GM Rifle replaced with Beam Rifle. Last HGUC kit to have pictures of actual model kits in the background of the boxart;HGUC
HGUC Zeta Gundam -U.C.0088-.jpg;MSZ-006 Zeta Gundam [U.C.0088];Mobile Suit Zeta Gundam;¥2,000;2018 September;P-Bandai exclusive parts variant of HGUC-203,  half of the parts from the original runners omitted and replaced with new F1, F2, and G plate runners.;HGUC
HGUC II Neo Zeong (Narrative Ver.).jpg;NZ-999 II Neo Zeong (Narrative Ver.);Mobile Suit Gundam Narrative;¥26,000;2019 February;P-Bandai exclusive parts and color variant of HGUC-181,  HGUC-116 replaced by HGUC-217. Includes water slide decal sheet.;HGUC
hguc184.jpg;GW-9800 Gundam Airmaster;After War Gundam X;¥1,700;2014 July;Transforms via head removal. First release had mold issue on piece E5,  later releases had this issue corrected.;HGUC
HGUC Zaku II EAGLES Ver.jpg;MS-06S Zaku II EAGLES Ver.;Mobile Suit Gundam;¥2,778;2019 April;Tohoku Rakuten Golden Eagles exclusive color variant of HGUC-032. Available during specific match days,  limited to 3000 units. Released as part of the Gundam 40th anniversary celebration.;HGUC
Hguc-msn0100-mbl.jpg;Hyaku-Shiki + “Mega Bazooka Launcher”;Mobile Suit Zeta Gundam;¥1,800;2004 July;Enhanced version of HGUC-005,  molded in golden yellow instead of original gold chrome plating. Mega Bazooka Launcher is fully transformable with minor parts swapping. Includes custom display base. Works with linkage part of HGUC-061.;HGUC
HGUC Rick Dias (Quattro Bajeena Custom).jpg;RMS-099 Rick Dias (Quattro Bajeena Custom);Mobile Suit Zeta Gundam;¥1,900;2020 August;P-Bandai exclusive parts and color variant of HGBD RMS-099BC Build G Gundam,  newly molded version of HGUC-033 with better articulation and improved proportions.;HGUC
HGUC Zaku II.jpg;MS-06 Zaku II;Mobile Suit Gundam;¥1,600;2021 December;Parts and color variant of HGUC-234,  newly molded version of HGUC-040 with better articulation and improved proportions.;HGUC
