Image; Model; Series; Yen Price; Release Date; Notes
N/A;RX-78-2 Gundam Clear Ver.;Mobile Suit Gundam;N/A;1995;Modeler’s Cup 1995 exclusive clear variant of MG-001. Offered as a prize in the contest.
N/A;RX-78-1 Prototype Gundam Conversion Parts;Mobile Suit Variations;¥3,800;1996;Resin-cast conversion kit for MG-001/004.
N/A;MS-06R-1A Zaku II High Mobility Type Conversion Parts;Mobile Suit Variations;¥4,500;1996;Resin-cast conversion kit for MG-003.
N/A;MS-05B Zaku I Conversion Parts;Mobile Suit Gundam;¥5,000;1996;Resin-cast conversion kit for MG-003.
N/A;MS-06F Zaku Minelayer Conversion Parts;Mobile Suit Variations;¥5,000;1996;Resin-cast conversion kit for MG-003.
N/A;MS-06R-2 Johnny Ridden's Zaku High Mobility Conversion Parts;Mobile Suit Variations;¥6,500;1996;Resin-cast conversion kit for MG-003.
N/A;Gundam RX-78 NT-1 Gold Plating Version;Mobile Suit Gundam 0080: War in the Pocket;N/A;2000;Character Plastic Model Contest 2000 exclusive gold chrome plated variant of MG-022. Offered as a prize in the contest.
N/A;Version Up Parts;Mobile Suit Gundam;N/A;2001;Exclusive accessory kit for MG-001 & MG-003. Includes Beam Rifle from ''Rx-78 Gundam'', Machine Gun from ''MS-06F/J Zaku II'', and heads of both mobile suits in black.
MG_Wing_Gundam_Zero_Pearl_Gloss_Ver.jpg;XXXG-00W0 Wing Gundam Zero Pearl Gloss Version;New Mobile Report Gundam Wing: Endless Waltz;¥3,800;2010;Limited gloss injection variant of MG-075.
N/A;MSN-04II Nightingale;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;N/A;2010;Originally announced at Gunpla Expo World Tour 2010 Japan, with the prototype model on display at the event. Plans to release this model were canceled, but it resurfaced in 2014 as the first Reborn-One Hundred kit.
Mg-rx-78-2original.jpg;Gundam RX-78-2;Mobile Suit Gundam;¥2,500;1995 July;"Features markings pre-printed on shoulder armor parts. Includes transformable FF-X7 Core Fighter and Amuro Ray figurine. First Master Grade kit, also the first Gundam kit to be given the correct designation ""RX-78-2"". "
