Image; Model; Series; Yen Price; Release Date; Notes;Type
Pg-rx-78-2-gundam-pa.jpg;RX-78-2 Gundam;Mobile Suit Gundam;¥12,000;November 1998;"First Gundam type PG kit. Features LED for eyes (requires one CR1220 watch battery). Includes transformable FF-X7 Core Fighter and optional Core Block. First Gunpla kit to use ""Earth Federation Space Force (E.F.S.F.)"" as the official moniker for the Earth Federation Forces.";PG
Pg002-Zaku-II-MS06F.jpg;MS-06F Zaku II;Mobile Suit Gundam;¥12,000;March 1999;"First Zeon Unit and sole mass production unit PG kit. Features LED for monoeye (requires one CR1220 watch battery). First Gunpla kit to use the official ""Principality of Zeon"" moniker.";PG
PG_ZAKU_II_CHARS.jpg;MS-06S Char's Zaku II;Mobile Suit Gundam;¥12,000;July 1999;Color variant of PG-02.;PG
Pg-zeta-gundam-pa.jpg;MSZ-006 Zeta Gundam;Mobile Suit Zeta Gundam;¥20,000;March 2000;First fully transformable PG kit. Features diecast metal landing gear, LED for eyes and stabilizer (requires one CR1220 watch battery each), wing binders (uses provided BR435 pin type battery for testing), beam saber (includes one BR435 pin type battery), and shield (requires two LR44 watch batteries). Includes grenade launcher packs.;PG
Pg005-Wing-Gundam-Zero-Custom.jpeg;XXXG 00W0 W-Gundam Zero Custom;New Mobile Report Gundam Wing: Endless Waltz;¥15,000;November 2000;First and only PG kit released from the After Colony timeline. Features diecast metal joints and LED for eyes and chest (requires two LR43 watch batteries).;PG
Pg-rx-178-gundam-Mk-ii-aeug-box.jpg;RX-178 Gundam Mk-II (AEUG colors);Mobile Suit Zeta Gundam;¥15,000;November 2001;Features diecast metal hip joint and LED for eyes and cockpit (requires two LR43 watch batteries).;PG
Pg-rx-178-gundam-Mk-ii-box.jpg;RX-178 Gundam Mk-II (Titans colors);Mobile Suit Zeta Gundam;¥15,000;July 2002;Color variant of PG-06.;PG
Pg-rx-78-gp01-gundam.jpg;"RX-78GP01 Gundam ""Zephyranthes""/Fb";Mobile Suit Gundam 0083: Stardust Memory;¥20,000;November 2003;Includes parts to build either variant of the Gundam GP01. Features LED for eyes (requires one CR1220 watch battery) and diecast metal hip joint. Includes FF-XII Core Fighter II and FF-XII-Fb Core Fighter II Full Burnern, 90mm Machine Gun as seen in episodes Endless Pursuit and Into Battle, Albion! of the OVA, MS hangar, and figurines of Kou Uraki and two hangar personnel. Initial release of the kit included an Anaheim Electronics Gundam Development Project folder with Project GP01 Staff card.;PG
Pg-strike-gundam-box.jpg;GAT-X105 Strike Gundam;Mobile Suit Gundam SEED;¥14,000;November 2004;"First PG kit released from the Cosmic Era timeline. Features LED for eyes (requires one CR1220 watch battery) and diecast parts for the knees and hips. Includes Kira Yamato figurine and large ""Grand Slam"" sword weapon, promoted in Gundam Evolve 08.";PG
Pg-skygrasper-box.jpg;FX-550 Skygrasper + AQM/E-X01 Aile Striker;Mobile Suit Gundam SEED;¥5,000;June 2005;Add-on kit for PG-09. Includes adjustable display base that is compatible with this kit or PG-09 and a pilot figure that can be painted as Mu La Flaga, Tolle Koenig, or Cagalli Yula Athha.;PG
PG_AileStrikeRouge.jpg;MBF-02+AQM/E-X01 Aile Strike Rouge + FX-550 Skygrasper;Mobile Suit Gundam SEED;¥19,000;August 2005;Color variant of PG-09 with PG-10.;PG
Pg012-Astray_Red_Frame.jpg;MBF-P02 Gundam Astray Red Frame;Mobile Suit Gundam SEED Astray;¥18,000;March 2009;"First PG kit released from a manga series. Re-uses inner frame of PG-09. Features LED for eyes (requires one CR1220 watch battery). Includes Lowe Guele figurine and a chapter of the ''Gundam SEED Astray'' manga. Initial release included clear armor parts, ""Tiger Pierce"" katana, and a stand to hold both the ""Gerbera Straight"" and ""Tiger Pierce"" katanas.";PG
4067108349_61d35f0e00.jpg;GN-0000+GNR-010 00 Raiser;Mobile Suit Gundam 00;¥25,000;November 2009;First PG kit released from the Anno Domini timeline. Features Gunpla LED Unit for eyes (two LR41 watch batteries included) and two GN Drives with lights and spinning flywheels (two CR2032 watch batteries included). GN Condensers on the arms and legs feature locking joints to support the weight of large weaponry and the 0 Raiser. Includes Setsuna F. Seiei and Saji Crossroad figurines. Initial release included 2 Way Stand Base for both 00 Gundam and 00 Raiser.;PG
