Image; Model; Series; Yen Price; Release Date; Notes;Type
20140909-152225.jpg;MSN-04II Nightingale;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥8,000;2014 September;First Reborn-One Hundred released, and the first release from the Universal Century timeline. First and currently the only RE/100 kit to use MP2 plate runner. Largest and most expensive RE/100 kit. Neck accommodates Gunpla LED Unit (sold separately). ;RE100
RE_Gundam_Mk-III_box_art.jpg;MSF-007 Gundam Mk-III;Mobile Suit Zeta Gundam Variations;¥3,500;2015 January;;RE100
RE_Gundam_Gerbera.jpg;RX-78GP04G Gundam GP04G Gerbera;Gundam Evolve#04 – RX-78 GP03 Dendrobium;¥3,500;2015 April;;RE100
RE_Dijeh.jpg;MSK-008 Dijeh;Mobile Suit Zeta Gundam;¥3,500;2015 June;First release from the canonical UC timeline. Uses the H plate runner of MG-187 for weapons.;RE100
RE100-EfreetCustom.jpg;MS-08TX[EXAM] Efreet Custom;Mobile Suit Gundam Side Story: The Blue Destiny;¥3,500;2016 April;Includes a booklet containing Chapter 3 of the ''Blue Destiny'' Vol. 1 manga.;RE100
RE100-Bawoo.jpg;AMX-107 Bawoo;Mobile Suit Gundam ZZ;¥3,500;2016 November;First transformable/separable kit in the series. Also the first RE/100 kit to have bilingual Japanese/English text on its box packaging and instruction manual. ;RE100
RE100-Hamma-Hamma.jpg;AMX-103 Hamma-Hamma;Mobile Suit Gundam ZZ;¥4,700;2017 July;Includes four clear display stands for Wire-Guided 3-Barrel Beam Guns/Claws.;RE100
RE100-Guncannon_Detector.jpg;MSA-005K Guncannon Detector;Mobile Suit Gundam Unicorn;¥4,000;2018 February;Includes 170mm cannon for the P-Bandai exclusive MG MSA-003 Nemo (Unicorn Desert Color Ver.).;RE100
RE100-Vigna_Ghina.jpg;XM-07 Vigna-Ghina;Mobile Suit Gundam F91;¥3,200;2018 June;"Released as part of Bandai's ''""UC NexT 0100"" project''. Includes two different cockpit hatches.";RE100
RE100_Gyunei_Guss's_Jagd_Doga.jpg;MSN-03 Gyunei Guss's Jagd Doga ;Mobile Suit Gundam: Char's Counterattack;¥4,500;2018 September;"Released to commemorate the 30th anniversary of ''Char's Counterattack'' and as part of Bandai's ''""UC NexT 0100"" project''. Includes effect parts for funnels.";RE100
RE100_Gun_EZ.jpg;LM111E02 Gun EZ;Mobile Suit Victory Gundam;¥3,500;2018 December;"Uses G and H plate runners of MG-127 for frame and beam shield effect part. Released as part of Bandai's ''""UC NexT 0100"" project'' and to commemorate the 25th anniversary of ''Victory Gundam''.";RE100
RE100_Vigna-Ghina_II.jpg;XM-07B Vigna Ghina II;Gundam F91 Mobile Suit Variations;¥3,700;2019 May;Parts and color variant of RE-009.;RE100
RE100_Zaku_II_FZ.jpg;MS-06FZ Zaku II Kai;Mobile Suit Gundam 0080: War in the Pocket;¥3,500;2019 July;Uses no polycaps. Includes additional head parts to create Commander Type and Type-B variants. First 1/100 scale Gunpla kit ever to have hands where the back of the hand substitutes the palm, similar to a High Grade model, rather than having the usual complete hands. Released to commemorate the 30th anniversary of ''Gundam 0080''.;RE100
Expansion_Funnel_Set_for_MG_Sazabi_Ver.Ka_&_RE100_Nightingale.jpg;Expansion Funnel Set for MG Sazabi Ver.Ka & RE/100 Nightingale;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥1,700;2015 July;P-Bandai exclusive accessory kit for RE-001. Also compatible with MG-175.;RE100
Gerbera_clear_small.jpg;Gundam GP04G Gerbera Clear Color Ver.;Gundam Evolve#04 – RX-78 GP03 Dendrobium;¥3,500;2016 August;Gunpla Expo World Tour Japan 2016 Summer [Ikebukuro] exclusive clear color variant of RE-003.;RE100
RE100_Efreet_Schneid.jpg;MS-08TX/S Efreet Schneid;Mobile Suit Gundam Unicorn;¥3,500;2016 September;P-Bandai exclusive parts and color variant of RE-005.;RE100
RE100_Rebawoo.jpg;AMX-107R Rebawoo;Mobile Suit Gundam UC: One of Seventy Two;¥4,200;2017 February;P-Bandai exclusive parts and color variant of RE-006. Uses the J, K, M, and O plate runners of MG-167. Includes additional water slide decal sheet.;RE100
Gunpla_RE100_EfreetCustom-ClearColor_box.jpg;MS-08TX[EXAM] Efreet Custom [Clear Color];Mobile Suit Gundam Side Story: The Blue Destiny;¥3,500;2017 August;"The Gundam Base Tokyo exclusive clear color variant of RE-005 to promote ""Gundam Build Fighters World"".";RE100
RE100_Bawoo_Mass_Production_Type.jpg;AMX-107 Bawoo Mass Production Type;Mobile Suit Gundam ZZ;¥3,500;2017 September;P-Bandai exclusive color variant of RE-006. ;RE100
