Image; Model; Series; Yen Price; Release Date; Notes;Type
RG_Zeong.jpg;MSN-02 Zeong;Mobile Suit Gundam;¥5,500;2021 January;Includes gray Action Base 5. Starting with this kit, pilot figurines would not be included in RG kits.  Advanced MS Joint 18 (limited - fingers only);RG
RG_Unicorn_Gundam_-bilibili_10th_Anniversary_Ver.-.jpg; RX-0 Unicorn Gundam [bilibili 10th Anniversary Ver.];Mobile Suit Gundam Unicorn; RMB¥299;2020 January;bilibili exclusive color variant of RG-25 with blue psychoframe. Limited to 10000 units available through lottery sale. Released to celebrate the 10th anniversary of bilibili.  Advanced MS Framework;RG
RX782_Gundam_-_RG_Boxart.jpg;RX-78-2 Gundam;Mobile Suit Gundam;¥2,500;2010 July;First release from the Universal Century timeline. Features the Core Block Transformation and Combination System. Includes fully transformable FF-X7 Core Fighter, a non-transformable Core Block, and an Amuro Ray figurine. Kits from RG-01 to RG-13 use a base adapter that is compatible with Action Base 2 only. Advanced MS Joint 1, closed fists;RG
Ms-06s-rg-box.jpg;MS-06S Zaku II (Char Aznable's Custom);Mobile Suit Gundam;¥2,500;2010 November;First Principality of Zeon MS in the series. Features a gear mechanism that moves the monoeye when the head is turned sideways. Includes Char Aznable figurine. Advanced MS Joint 2, closed fists;RG
Rg_aile_strike.jpg;GAT-X105 Aile Strike Gundam;Mobile Suit Gundam SEED;¥2,500;2011 April;First release from the Cosmic Era timeline. Includes Kira Yamato figurine. Advanced MS Joint 3, closed fists;RG
RG_00_Qan［T］.jpg;GNT-0000 00 Qan[T];Mobile Suit Gundam 00 The Movie -A wakening of the Trailblazer-;¥2,500;2016 May;Includes clear adjustable stand for GN Sword V in buster rifle mode and Setsuna F. Seiei figurine.  Advanced MS Joint 7 (arms are a custom assembly), closed fists, holding hands, left open hand;RG
RG_Gundam_Astray_Red_Frame.jpg;MBF-P02 Gundam Astray Red Frame;Mobile Suit Gundam SEED Astray;¥2,500;2015 August;"First RG kit released from a side story manga. Also the first RG kit to feature multicolor MS Joint parts. Features chrome plated ""Gerbera Straight"" katana. Includes Lowe Guele figurine. Advanced MS Joint 10, closed fists, holding hands, right trigger hand, left open hand";RG
RG_Sazabi_Box.jpg;MSN-04 Sazabi;Mobile Suit Gundam: Char's Counterattack;¥4,500;2018 August;"Released to commemorate the 30th anniversary of ''Char's Counterattack'' and as part of Bandai's ''""UC NexT 0100"" project''. Features ""Invoke Mode"" originally introduced in the MG Ver.Ka kit. Includes Char Aznable (Neo Zeon Normal Suit) figurine. Initial release includes ''Universal Century New Gunpla Book'' magazine. First RG release to be packaged in a double size box similar to a Master Grade model. Advanced MS Joint 13 (limited - waist skirts, shoulder pads and wrists only). Closed fists, holding hands, right trigger hand, open hands";RG
RG_ν_Gundam.jpg;RX-93 ν Gundam;Mobile Suit Gundam: Char's Counterattack;¥4,200;2019 August;Includes Amuro Ray (Londo Bell Normal Suit) figurine and custom Action Base adapter.  Advanced MS Joint 15 (limited - Fin Funnel inner parts only), Closed fists, holding hands, right trigger hand, open hands;RG
RG_Wing_Gundam.jpg;XXXG-01W Wing Gundam;Mobile Suit Gundam Wing;¥3,200;2021 June;Fully transformable kit. First release from After Colony timeline not based on the ''Endless Waltz'' redesigns.  Advanced MS Joint 19 (limited - wing joints only), Closed fists, holding hands, right trigger hand, open hands;RG
RG_Crossbone_Gundam_X-1.jpg;XM-X1 Crossbone Gundam X-1;Mobile Suit Crossbone Gundam;¥2,500;2019 May;First release from the Late Universal Century timeline. Includes fully transformable Core Fighter, Anti-Beam Coating Cloak, and Kincade Nau figurine. Released as part of the Gunpla Evolution Project.  Advanced MS Joint 14 (limited - Core Fighter and Core Fighter slot in chest only), Closed fists, holding hands, trigger hands, open hands;RG
RG_Force_Impulse_Gundam.jpg;ZGMF-X56S/α Force Impulse Gundam;Mobile Suit Gundam SEED Destiny;¥3,000;2020 April;Can be separated into Chest Flyer and Leg Flyer. Includes transformable YFX-M56S Core Splendor, Silhouette Flyer, two Action Base adapters for MS mode/Leg Flyer and Chest Flyer, and Shinn Asuka figurine.  Advanced MS Joint 17 (limited - Core Splendor and Chest Unit only), Closed fists, holding hands, trigger hands, open hands;RG
RG_Hi-ν_Gundam.jpg;RX-93-ν2 Hi-ν Gundam;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥4,500;2021 September;Uses the B and E plate runners of RG-32.  Advanced MS Joint 15 (limited - Fin Funnel inner parts only), Closed fists, holding hands, trigger hands, open hands;RG
RG-BuildStrike_GundamFullPackage.jpg;GAT-X105B/FP Build Strike Gundam Full Package;Gundam Build Fighters;¥2,500;2016 December;First release from the Build Fighters timeline. Also the first RG kit to have bilingual Japanese/English text on its box packaging and instruction manual. Uses the B, C, and F plate runners of RG-03. Includes Sei Iori figurine. Advanced MS Joint 3, closed fists, right trigger hand;RG
gg1.jpg;ZGMF-X42S Destiny Gundam;Mobile Suit Gundam SEED Destiny;¥2,500;2013 April;"Released to coincide with the ''Gundam SEED Destiny'' HD Remaster. Includes Shinn Asuka figurine. Advanced MS Joint 4, closed fists, right trigger hand, ""Palma Fiocina"" palm beam cannon hands";RG
Rg-1-144-ms-06f.jpg;MS-06F Zaku II;Mobile Suit Gundam;¥2,500;2011 July;Parts and color variant of RG-02. Includes left open hand, right trigger hand, and Zeon pilot figurine. Advanced MS Joint 2, closed fists, right trigger hand, left open hand;RG
Rg-1-144-freedom.jpg;ZGMF-X10A Freedom Gundam;Mobile Suit Gundam SEED;¥2,500;2011 November;Includes Kira Yamato figurine. Full Burst Effect Parts were later sold separately for this kit. Advanced MS Joint 4, closed fists, right trigger hand, left open hand;RG
Rg_mk-2_titans_boxart.jpg;RX-178 Gundam Mk-II Titans;Mobile Suit Zeta Gundam;¥2,500;2012 April;"Includes Titans pilot figurine and optional parts to recreate ""test"" version. Shield features missile pod as seen in the ''Zeta Gundam'' compilation films. Advanced MS Joint 5, closed fists, right trigger hand, left open hand";RG
Rg-justice-gundam-box-art.jpg;ZGMF-X09A Justice Gundam;Mobile Suit Gundam SEED;¥2,500;2012 July;Includes Athrun Zala figurine. Includes prop stand for Fatum-00 unit when attached to the Gundam in a standing pose. Advanced MS Joint 4, closed fists, right trigger hand, left open hand;RG
Rg_mk-2_aeug_boxart.jpg;A.E.U.G.;Mobile Suit Zeta Gundam;¥2,500;2012 May;Color variant of RG-07 without optional parts. Includes Kamille Bidan figurine. Originally planned to be released simultaneously with RG-07, but mold defects caused a delayed release date. Advanced MS Joint 5, closed fists, right trigger hand, left open hand;RG
